"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.223170830E-1,-1.767023563E0,1.176439762E0,6.283603907E-1,2.213869817E0
3.247216670E-1,-1.779851794E0,1.314495206E0,5.269568563E-1,2.274522716E0
3.271270830E-1,-1.784738660E0,1.428726912E0,4.139468372E-1,2.323339118E0
3.295331770E-1,-1.778019190E0,1.513637066E0,2.929956317E-1,2.353358419E0
3.319385420E-1,-1.752973676E0,1.575334430E0,1.702118218E-1,2.362957329E0
3.343430730E-1,-1.705937147E0,1.616873145E0,4.681714624E-2,2.350891780E0
3.367484370E-1,-1.644850612E0,1.630312204E0,-7.046888024E-2,2.316984523E0
3.391545830E-1,-1.574601173E0,1.617484093E0,-1.792027950E-1,2.264450769E0
3.415599480E-1,-1.493356228E0,1.581443071E0,-2.793846130E-1,2.192973044E0
3.439644270E-1,-1.403559089E0,1.535628200E0,-3.716251850E-1,2.113347430E0
3.463698440E-1,-1.305820704E0,1.484315515E0,-4.528701901E-1,2.028164605E0
3.487759900E-1,-1.202584624E0,1.428115964E0,-5.200653076E-1,1.938090016E0
3.511812500E-1,-1.096904993E0,1.368862152E0,-5.744322538E-1,1.845794292E0
3.535858330E-1,-9.912253022E-1,1.304110408E0,-6.141384244E-1,1.749399200E0
3.559912500E-1,-8.843240142E-1,1.236915350E0,-6.397947669E-1,1.649644170E0
3.583973440E-1,-7.737575173E-1,1.167276740E0,-6.550663710E-1,1.546074912E0
3.608027080E-1,-6.625801325E-1,1.090918660E0,-6.617859006E-1,1.437733123E0
3.632071870E-1,-5.501810312E-1,1.009673715E0,-6.568989754E-1,1.324256939E0
3.656126040E-1,-4.347275794E-1,9.210982919E-1,-6.428490877E-1,1.204435586E0
3.680187500E-1,-3.168306649E-1,8.325228691E-1,-6.251339912E-1,1.088241014E0
3.704240100E-1,-1.964903325E-1,7.433366179E-1,-6.019211411E-1,9.764562655E-1
3.728285940E-1,-7.126306742E-2,6.553721428E-1,-5.762648582E-1,8.755982282E-1
3.752340100E-1,5.640766025E-2,5.625206828E-1,-5.475541949E-1,7.870368092E-1
3.776401040E-1,1.859109849E-1,4.690583646E-1,-5.176218152E-1,7.228492148E-1
3.800454690E-1,3.178577721E-1,3.725417256E-1,-4.858568907E-1,6.898389804E-1
3.824500000E-1,4.485828280E-1,2.735816538E-1,-4.534810483E-1,6.940594615E-1
3.848553650E-1,5.799187422E-1,1.752324402E-1,-4.217160940E-1,7.381440372E-1
3.872615100E-1,7.088111639E-1,7.566148788E-2,-3.936163187E-1,8.142921670E-1
3.896667710E-1,8.352602124E-1,-2.940724790E-2,-3.685708642E-1,9.134379512E-1
3.920713540E-1,9.580439925E-1,-1.375302970E-1,-3.471905887E-1,1.028252974E0
3.944767710E-1,1.075330019E0,-2.480968237E-1,-3.300863802E-1,1.151887018E0
3.968828650E-1,1.188339949E0,-3.635502458E-1,-3.172582388E-1,1.282565166E0
3.992882290E-1,1.294019580E0,-4.875558019E-1,-3.105387092E-1,1.417262016E0
4.016927600E-1,1.395423055E0,-6.195025444E-1,-3.080952466E-1,1.557533815E0
4.040981250E-1,1.492550611E0,-7.557253838E-1,-3.117604554E-1,1.701770480E0
4.065042710E-1,1.585402012E0,-8.888939023E-1,-3.215342760E-1,1.845810445E0
4.089096350E-1,1.673977375E0,-1.017786384E0,-3.331407011E-1,1.987227240E0
4.113141150E-1,1.756444097E0,-1.143624425E0,-3.465797305E-1,2.124403493E0
4.137195310E-1,1.835856557E0,-1.263353944E0,-3.594079018E-1,2.257345017E0
4.161256770E-1,1.912214637E0,-1.376363993E0,-3.734577894E-1,2.385458735E0
4.185309370E-1,1.982464075E0,-1.485097885E0,-3.862859309E-1,2.506969557E0
4.209355210E-1,2.049048424E0,-1.585279703E0,-3.954489231E-1,2.620704301E0
4.233409370E-1,2.111967564E0,-1.679963708E0,-4.021684229E-1,2.728447267E0
4.257470310E-1,2.173053980E0,-1.766706467E0,-4.033901393E-1,2.829512139E0
4.281523960E-1,2.226809978E0,-1.849173188E0,-4.003358185E-1,2.922052862E0
4.305568750E-1,2.275679350E0,-1.929807425E0,-3.936163187E-1,3.009619080E0
4.329622920E-1,2.316607237E0,-2.006165504E0,-3.820098937E-1,3.088252043E0
4.353684370E-1,2.350815535E0,-2.075193405E0,-3.685708642E-1,3.157309904E0
4.377736980E-1,2.375250101E0,-2.142388344E0,-3.532992303E-1,3.218145616E0
4.401782810E-1,2.392965317E0,-2.204696655E0,-3.374167681E-1,3.271210850E0
4.425836980E-1,2.405182600E0,-2.262117863E0,-3.203125596E-1,3.317330357E0
4.449897920E-1,2.413123846E0,-2.318928242E0,-3.013757467E-1,3.360271154E0
4.473951560E-1,2.416789055E0,-2.369630098E0,-2.812172174E-1,3.396336153E0
4.497996870E-1,2.415567160E0,-2.410557985E0,-2.592260838E-1,3.422419125E0
4.522050520E-1,2.409458637E0,-2.442933798E0,-2.384566814E-1,3.439517125E0
4.546111980E-1,2.400295734E0,-2.455761909E0,-2.176872790E-1,3.440868193E0
4.570165620E-1,2.383802414E0,-2.457594633E0,-1.993613392E-1,3.429581647E0
4.594210420E-1,2.363032818E0,-2.447820663E0,-1.792027950E-1,3.407031514E0
4.618264580E-1,2.339209080E0,-2.435603380E0,-1.590442657E-1,3.380733356E0
4.642325520E-1,2.306222439E0,-2.418499231E0,-1.443835050E-1,3.344943507E0
4.666379170E-1,2.268348932E0,-2.398951530E0,-1.309444904E-1,3.304167336E0
4.690424480E-1,2.220090628E0,-2.376960516E0,-1.175054610E-1,3.254619981E0
4.714478120E-1,2.166945219E0,-2.353747606E0,-1.046773046E-1,3.201052439E0
4.738539580E-1,2.108913183E0,-2.326258659E0,-9.368173778E-2,3.141300755E0
4.762593230E-1,2.042939901E0,-2.296937227E0,-8.146444708E-2,3.075087076E0
4.786638020E-1,1.971468449E0,-2.264561415E0,-6.619282812E-2,3.003216232E0
4.810692190E-1,1.898775578E0,-2.223633528E0,-5.031034350E-2,2.924453093E0
4.834753650E-1,1.823639274E0,-2.173542500E0,-3.748218343E-2,2.837490460E0
4.858806250E-1,1.743615985E0,-2.116732121E0,-2.404315956E-2,2.742504266E0
4.882852080E-1,1.660538316E0,-2.056867361E0,-1.243672986E-2,2.643528988E0
4.906906250E-1,1.576238990E0,-1.991504669E0,-1.441164874E-3,2.539807528E0
4.930967190E-1,1.488274455E0,-1.921255231E0,8.943536319E-3,2.430280334E0
4.955020830E-1,1.398477435E0,-1.843064547E0,1.993909851E-2,2.313660223E0
4.979065620E-1,1.305625916E0,-1.755100012E0,2.971293405E-2,2.187674094E0
5.003119790E-1,1.207276702E0,-1.653696537E0,3.704331070E-2,2.047828479E0
5.027181250E-1,1.110760093E0,-1.520527959E0,3.459985182E-2,1.883345536E0
5.051233850E-1,1.012410879E0,-1.344599009E0,2.360428870E-2,1.683294224E0
5.075279690E-1,9.177269340E-1,-1.149122238E0,1.566304639E-2,1.470697105E0
5.099333850E-1,8.346493244E-1,-9.512020946E-1,1.077612955E-2,1.265520069E0
5.123394790E-1,7.589020729E-1,-7.575579882E-1,7.721805014E-3,1.072327416E0
5.147448440E-1,6.862092018E-1,-5.742985606E-1,8.332670666E-3,8.948582786E-1
5.171493750E-1,6.202358007E-1,-4.063107967E-1,1.138699520E-2,7.415595564E-1
5.195547400E-1,5.554841161E-1,-2.493185401E-1,1.199785899E-2,6.089879196E-1
5.219608850E-1,4.968411326E-1,-1.063762009E-1,1.016526390E-2,5.082030498E-1
5.243662500E-1,4.424741566E-1,2.618144453E-2,2.224023454E-3,4.432536448E-1
5.267707290E-1,3.874963522E-1,1.385805607E-1,-9.382406250E-3,4.116382202E-1
5.291761460E-1,3.337402344E-1,2.314319909E-1,-2.343229577E-2,4.068075502E-1
5.315822400E-1,2.824276090E-1,3.114552498E-1,-4.175823554E-2,4.225085528E-1
5.339876040E-1,2.341693044E-1,3.694874048E-1,-6.069504470E-2,4.416334384E-1
5.363921350E-1,1.816349328E-1,3.945328593E-1,-7.596666366E-2,4.409289737E-1
5.387975000E-1,1.242136434E-1,3.755960464E-1,-8.268617094E-2,4.041514842E-1
5.412036460E-1,6.068371236E-2,3.126769960E-1,-7.657752931E-2,3.275874460E-1
5.436090100E-1,-5.900541320E-3,2.198255360E-1,-6.008417904E-2,2.279653290E-1
5.460134900E-1,-7.126306742E-2,1.135350987E-1,-3.626045585E-2,1.388649131E-1
5.484189060E-1,-1.329603940E-1,1.152068749E-2,-9.993270971E-3,1.338322012E-1
